ko00010	Glycolysis / Gluconeogenesis
ko00790	Folate biosynthesis
ko00230	Purine metabolism
ko00632	Benzoate degradation via CoA ligation
ko00550	Peptidoglycan biosynthesis
ko00590	Arachidonic acid metabolism
ko00740	Riboflavin metabolism
ko00940	Phenylpropanoid biosynthesis
ko00983	Drug metabolism - other enzymes
ko00941	Flavonoid biosynthesis
ko00680	Methane metabolism
ko00750	Vitamin B6 metabolism
ko00363	Bisphenol A degradation
ko00591	Linoleic acid metabolism
ko00625	Tetrachloroethene degradation
ko00232	Caffeine metabolism
ko00631	1,2-Dichloroethane degradation
ko00362	Benzoate degradation via hydroxylation
ko00440	Phosphonate and phosphinate metabolism
ko00903	Limonene and pinene degradation
ko00361	gamma-Hexachlorocyclohexane degradation
ko00626	Naphthalene and anthracene degradation
ko00330	Arginine and proline metabolism
ko00410	beta-Alanine metabolism
ko05010	Alzheimer's disease
ko00250	Alanine, aspartate and glutamate metabolism
ko00643	Styrene degradation
ko00760	Nicotinate and nicotinamide metabolism
ko00633	Trinitrotoluene degradation
ko04310	Wnt signaling pathway
ko04340	Hedgehog signaling pathway
ko04916	Melanogenesis
ko05200	Pathways in cancer
ko05217	Basal cell carcinoma
ko00351	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT)
ko00240	Pyrimidine metabolism
ko00401	Novobiocin biosynthesis
ko00100	Steroid biosynthesis
ko00860	Porphyrin and chlorophyll metabolism
ko01053	Biosynthesis of siderophore group nonribosomal peptides
ko00627	1,4-Dichlorobenzene degradation
ko00364	Fluorobenzoate degradation
ko00628	Fluorene degradation
ko00592	alpha-Linolenic acid metabolism
ko03320	PPAR signaling pathway
ko00190	Oxidative phosphorylation
ko05012	Parkinson's disease
ko05016	Huntington's disease
ko00430	Taurine and hypotaurine metabolism
ko00910	Nitrogen metabolism
ko00471	D-Glutamine and D-glutamate metabolism
ko00311	Penicillin and cephalosporin biosynthesis
ko00472	D-Arginine and D-ornithine metabolism
ko00950	Isoquinoline alkaloid biosynthesis
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
ko00908	Zeatin biosynthesis
ko00670	One carbon pool by folate
ko00920	Sulfur metabolism
ko00450	Selenoamino acid metabolism
ko04260	Cardiac muscle contraction
ko04060	Cytokine-cytokine receptor interaction
ko04630	Jak-STAT signaling pathway
ko04640	Hematopoietic cell lineage
ko05320	Autoimmune thyroid disease
ko00629	Carbazole degradation
ko00623	2,4-Dichlorobenzoate degradation
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko00904	Diterpenoid biosynthesis
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko00965	Betalain biosynthesis
ko00906	Carotenoid biosynthesis
ko02030	Bacterial chemotaxis
ko00460	Cyanoamino acid metabolism
ko00970	Aminoacyl-tRNA biosynthesis
ko01051	Biosynthesis of ansamycins
ko00642	Ethylbenzene degradation
ko00780	Biotin metabolism
ko00600	Sphingolipid metabolism
ko04712	Circadian rhythm - plant
ko04910	Insulin signaling pathway
ko00540	Lipopolysaccharide biosynthesis
ko00510	N-Glycan biosynthesis
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00512	O-Glycan biosynthesis
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00603	Glycosphingolipid biosynthesis - globo series
ko00944	Flavone and flavonol biosynthesis
ko00514	O-Mannosyl glycan biosynthesis
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate
ko05219	Bladder cancer
ko00730	Thiamine metabolism
ko00565	Ether lipid metabolism
ko00473	D-Alanine metabolism
ko00524	Butirosin and neomycin biosynthesis
ko04930	Type II diabetes mellitus
ko04622	RIG-I-like receptor signaling pathway
ko04626	Plant-pathogen interaction
ko04020	Calcium signaling pathway
ko04070	Phosphatidylinositol signaling system
ko04144	Endocytosis
ko04666	Fc gamma R-mediated phagocytosis
ko04810	Regulation of actin cytoskeleton
ko04270	Vascular smooth muscle contraction
ko04510	Focal adhesion
ko04062	Chemokine signaling pathway
ko04140	Regulation of autophagy
ko04012	ErbB signaling pathway
ko04150	mTOR signaling pathway
ko04210	Apoptosis
ko04370	VEGF signaling pathway
ko04620	Toll-like receptor signaling pathway
ko04650	Natural killer cell mediated cytotoxicity
ko04660	T cell receptor signaling pathway
ko04662	B cell receptor signaling pathway
ko04664	Fc epsilon RI signaling pathway
ko04670	Leukocyte transendothelial migration
ko04722	Neurotrophin signaling pathway
ko04914	Progesterone-mediated oocyte maturation
ko05210	Colorectal cancer
ko05211	Renal cell carcinoma
ko05212	Pancreatic cancer
ko05213	Endometrial cancer
ko05214	Glioma
ko05215	Prostate cancer
ko05218	Melanoma
ko05220	Chronic myeloid leukemia
ko05221	Acute myeloid leukemia
ko05222	Small cell lung cancer
ko05223	Non-small cell lung cancer
ko03018	RNA degradation
ko03450	Non-homologous end-joining
ko04010	MAPK signaling pathway
ko04730	Long-term depression
ko04912	GnRH signaling pathway
ko04142	Lysosome
ko00981	Insect hormone biosynthesis
ko04920	Adipocytokine signaling pathway
ko04115	p53 signaling pathway
ko04530	Tight junction
ko00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
ko00531	Glycosaminoglycan degradation
ko03430	Mismatch repair
ko03410	Base excision repair
ko03440	Homologous recombination
ko00511	Other glycan degradation
ko00513	High-mannose type N-glycan biosynthesis
ko04614	Renin-angiotensin system
ko05410	Hypertrophic cardiomyopathy (HCM)
ko04940	Type I diabetes mellitus
ko04610	Complement and coagulation cascades
ko04080	Neuroactive ligand-receptor interaction
ko05322	Systemic lupus erythematosus
ko04112	Cell cycle - Caulobacter
ko05330	Allograft rejection
ko05332	Graft-versus-host disease
ko04612	Antigen processing and presentation
ko04621	NOD-like receptor signaling pathway
ko04623	Cytosolic DNA-sensing pathway
ko05014	Amyotrophic lateral sclerosis (ALS)
ko05140	Leishmania infection
ko00791	Atrazine degradation
ko05120	Epithelial cell signaling in Helicobacter pylori infection
ko00121	Secondary bile acid biosynthesis
ko00312	beta-Lactam resistance
ko05340	Primary immunodeficiency
ko00660	C5-Branched dibasic acid metabolism
ko00901	Indole alkaloid biosynthesis
ko01055	Biosynthesis of vancomycin group antibiotics
ko04011	MAPK signaling pathway - yeast
ko04113	Meiosis - yeast
ko00253	Tetracycline biosynthesis
ko03420	Nucleotide excision repair
ko03030	DNA replication
ko03010	Ribosome
ko03060	Protein export
ko02010	ABC transporters
ko04110	Cell cycle
ko04114	Oocyte meiosis
ko04540	Gap junction
ko04360	Axon guidance
ko00196	Photosynthesis - antenna proteins
ko04320	Dorso-ventral axis formation
ko04520	Adherens junction
ko05130	Pathogenic Escherichia coli infection
ko05216	Thyroid cancer
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
ko00195	Photosynthesis
ko05110	Vibrio cholerae infection
ko05020	Prion diseases
ko04111	Cell cycle - yeast
ko04720	Long-term potentiation
ko04740	Olfactory transduction
ko05416	Viral myocarditis
ko04120	Ubiquitin mediated proteolysis
ko04711	Circadian rhythm - fly
ko04710	Circadian rhythm - mammal
ko04330	Notch signaling pathway
ko02040	Flagellar assembly
ko03020	RNA polymerase
ko05111	Vibrio cholerae pathogenic cycle
ko04013	MAPK signaling pathway - fly
ko03070	Bacterial secretion system
ko03050	Proteasome
ko02060	Phosphotransferase system (PTS)
ko04350	TGF-beta signaling pathway
ko03022	Basal transcription factors
ko05310	Asthma
ko05414	Dilated cardiomyopathy
ko04672	Intestinal immune network for IgA production
ko04514	Cell adhesion molecules (CAMs)
ko03040	Spliceosome
ko00785	Lipoic acid metabolism
ko04512	ECM-receptor interaction
ko04962	Vasopressin-regulated water reabsorption
ko04742	Taste transduction
ko04950	Maturity onset diabetes of the young
ko04130	SNARE interactions in vesicular transport
ko00943	Isoflavonoid biosynthesis
ko01056	Biosynthesis of type II polyketide backbone
ko01057	Biosynthesis of type II polyketide products
ko00902	Monoterpenoid biosynthesis
ko01058	Acridone alkaloid biosynthesis
ko00905	Brassinosteroid biosynthesis
ko00909	Sesquiterpenoid biosynthesis
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides
ko00966	Glucosinolate biosynthesis
ko00942	Anthocyanin biosynthesis
ko00231	Puromycin biosynthesis
ko00331	Clavulanic acid biosynthesis
ko00402	Benzoxazinoid biosynthesis
ko03400	DNA repair and recombination proteins
ko03032	DNA replication proteins
ko01002	Peptidases
ko04812	Cytoskeleton proteins
ko02035	Bacterial motility proteins
ko02000	Transporters
ko03012	Translation factors
ko03000	Transcription factors
