PID	mtc_mock_even_hc
PWY-5123	45
PWY-5122	12
PWY0-1329	9
ANAGLYCOLYSIS-PWY	86
PWY0-1324	18
PWY-2941	2
PWY-5647	7
ARGASEDEG-PWY	29
MANNCAT-PWY	44
ILEUDEG-PWY	55
DAPLYSINESYN-PWY	50
GLYCOCAT-PWY	28
PWY-922	29
PWY0-981	11
LCYSDEG-PWY	13
PWY-6397	2
PWY-6392	1
PWY-6391	1
PWY-6390	1
P122-PWY	17
PWY-6497	2
TRPCAT-PWY	13
PWY-4302	32
SERSYN-PWY	82
PWY0-43	6
PWY3O-210	1
MANNIDEG-PWY	10
PWY-6196	10
PWY0-1495	1
2PHENDEG-PWY	3
PWY0-1497	1
AST-PWY	12
PWY0-1492	1
PWY0-1493	1
ASPARAGINE-DEG1-PWY	61
PWY0-1498	1
PWY0-1499	1
PWY-1422	2
PWY-3181	3
DISSULFRED-PWY	1
PWY0-181	43
PWY66-161	1
PWY66-162	7
P201-PWY	3
PWY0-1391	18
TOLUENE-DEG-CATECHOL-PWY	3
HEME-BIOSYNTHESIS-II	42
THRDLCTCAT-PWY	11
P21-PWY	73
PWY-6523	4
PWY0-1474	1
PWY0-1347	1
NAGLIPASYN-PWY	59
PWY0-163	86
PWY0-166	79
ALKANEMONOX-PWY	13
PWY-6462	1
LEUSYN-PWY	76
GLYCOLATEMET-PWY	38
ALANINE-SYN2-PWY	4
PWY5F9-12	5
PWY-6164	78
PWY0-1313	52
PWY-6166	7
PWY0-1471	1
PWY0-1312	61
ASPARAGINESYN-PWY	38
ARGSYN-PWY	69
OANTIGEN-PWY	15
METHYLGALLATE-DEGRADATION-PWY	23
DARABCATK12-PWY	7
ALACAT2-PWY	4
PHENYLALANINE-DEG1-PWY	47
PWY-101	7
PWY-1501	7
METHIONINE-DEG1-PWY	43
PWY-2541	1
PWY-5265	1
1CMET2-PWY	56
RHAMCAT-PWY	13
PUTDEG-PWY	3
PWY-5063	1
PWY-5064	1
SO4ASSIM-PWY	47
PWY-5169	6
PROPIONMET-PWY	36
PWY-6223	3
PWY0-1319	40
PWY-6221	2
HEXPPSYN-PWY	1
LYXMET-PWY	10
PWY-1881	31
PWY-5657	2
PWY-5629	2
PWY-5938	65
PWY-5656	4
PWY-5785	79
PWY0-1479	17
PWY-5783	18
PWY-5782	12
PWY0-1470	1
P224-PWY	5
ALANINE-VALINESYN-PWY	83
PWY-5461	9
LIPASYN-PWY	33
TCA	24
P223-PWY	5
PWY-5453	2
GALACTUROCAT-PWY	23
SULFMETII-PWY	31
PWY-6459	1
PWY-6454	10
PWY-6455	9
PWY-5162	7
PWY-5767	5
PWY-5766	7
CRNFORCAT-PWY	28
PWY-5499	1
PWY-6353	8
PWY-5808	2
PWY-6357	29
PWY-1361	2
GLUTORN-PWY	71
PWY-5807	25
PWY-5805	3
AEROBACTINSYN-PWY	5
P2-PWY	14
PWY-6118	5
CHOLINE-BETAINE-ANA-PWY	17
PWY-5600	12
PWY66-21	22
GLYSYN-ALA-PWY	14
ASPASN-PWY	2
PWY-5111	42
PWY-2721	1
PWY-4821	53
P101-PWY	19
PWY0-1356	4
PWY0-1355	4
PWY0-1353	22
TOLUENE-DEG-2-OH-PWY	1
N2FIX-PWY	15
PWY0-662	87
PWY0-661	9
PHOSPHONOTASE-PWY	7
BETA-ALA-DEGRADATION-I-PWY	2
GALLATE-DEGRADATION-I-PWY	9
IDNCAT-PWY	36
P3-PWY	7
SAM-PWY	87
ACETOACETATE-DEG-PWY	1
PWY0-1503	1
PWY0-1500	1
PWY0-1501	1
PWY0-1506	1
PWY0-1507	10
PWY0-1505	1
GLUAMCAT-PWY	55
VALSYN-PWY	74
PWY-6579	1
GLUCOSE1PMETAB-PWY	53
PWY-4261	18
PWY-6572	1
PYRUVOX-PWY	4
GLUTAMATE-DEG1-PWY	26
SUCUTIL-PWY	17
PWY-5437	21
PWY-5340	58
PWY-5025	15
PWY-5026	6
TYRFUMCAT-PWY	22
PWY-5022	7
PWY-4041	38
PWY-5973	45
PWY-5970	4
PWY-5971	74
4-HYDROXYMANDELATE-DEGRADATION-PWY	12
PWY-822	2
PWY-5979	4
PWY-6139	54
PWY-6130	2
PWY-6137	36
PWY-6135	7
PWY-6134	13
HOMOSER-METSYN-PWY	70
PWY0-1433	2
PWY-5509	55
REDCITCYC	19
PWY-5507	45
GLUT-REDOX-PWY	35
FAO-PWY	69
PROSYN-PWY	73
PWY1A0-6325	2
NONMEVIPP-PWY	80
SALVADEHYPOX-PWY	75
GALDEG-PWY	4
PWY0-901	40
PWY-5723	12
PWY-5489	3
PWY-6317	77
GLUCARDEG-PWY	20
PWY-5485	60
PWY-5482	12
PWY-5483	19
PWY-5480	10
GLUCONEO-PWY	86
PWY-6337	1
PWY-4361	23
PWY-5642	11
DETOX1-PWY	77
GALACTITOLCAT-PWY	10
ARGSPECAT-PWY	8
SORBDEG-PWY	6
PWY0-42	9
HISDEG-PWY	30
PWY0-41	3
PWY-6416	1
PWY0-44	2
GLYSYN-THR-PWY	32
PWY-5155	52
PWY-5659	73
PWY0-1317	8
PWY0-1481	1
PWY0-1315	7
PWY0-1314	33
PWY-5653	2
FORMASS-PWY	4
NADPHOS-DEPHOS-PWY	60
P601-PWY	8
UBISYN-PWY	57
PWY-5654	7
ARGDEG-III-PWY	6
PWY-6406	26
PWY-3282	2
CYSTEINE-DEG-PWY	1
HOMOSER-THRESYN-PWY	78
PWY-5852	32
PWY-5855	25
PWY-5857	22
PWY-5856	32
RIBITOLUTIL-PWY	1
ALADEG-PWY	3
BSUBPOLYAMSYN-PWY	43
BIOTIN-SYNTHESIS-PWY	61
GLUTSYNIII-PWY	27
P142-PWY	15
PWY0-1264	79
ARGDEG-IV-PWY	1
PWY0-1261	9
P162-PWY	2
PWY-6537	5
KDO-LIPASYN-PWY	28
PWY-6535	3
HSERMETANA-PWY	8
HCAMHPDEG-PWY	2
PWY-6530	1
GLYOXYLATE-BYPASS	22
RXN0-5268	4
PWY-6538	1
NADH-DEHYDROG-A-RXN	19
ARABCAT-PWY	22
ARG-PRO-PWY	7
12DICHLORETHDEG-PWY	21
PWY0-1182	6
SERDEG-PWY	51
P163-PWY	61
RIBOSYN2-PWY	85
PWY1G-0	3
PWY1G-1	1
PWY-1641	2
PWY-1723	1
PWY-1722	14
PWY-561	19
PWY-6173	3
PWY-6536	5
PWY-6075	4
PWY-6073	4
NARX-PWY	1
PWY-6622	1
ETOH-ACETYLCOA-ANA-PWY	12
GLYCDEGRIII-PWY	1
PWY-841	80
PWY-5276	1
PWY0-301	6
PWY-701	17
PWY0-823	35
PWY-5372	6
ECASYN-PWY	20
PWY-6213	7
PWY-6210	7
PWY-2361	10
PWY-6216	3
PWY-6217	3
PWY-5074	13
PWY-2201	76
PWY-5924	2
PWY-5927	1
PWY0-1352	2
PWY-2161	58
BETSYN-PWY	18
PYRIDNUCSYN-PWY	80
PWY-5743	1
PWY66-368	2
PEPTIDOGLYCANSYN-PWY	84
P183-PWY	1
METHFORM-PWY	1
RUMP-PWY	11
PWY-5194	48
PWY-5963	1
PWY-5942	11
P621-PWY	10
PWY-2242	3
PWY3DJ-11281	2
PPGPPMET-PWY	80
LACTOSECAT-PWY	11
PWY-5757	8
PWY-5755	11
PWY-3162	8
PWY-3161	10
PWY-5751	23
PWY-6322	1
PWY-5443	1
RIBOKIN-PWY	46
PWY-6287	25
PWY-6286	9
PWY-2841	1
PWY-6282	16
PWY-5172	2
PWY-1861	10
PWY-5686	84
PWY-5687	86
PWY-81	7
THISYN-PWY	81
PWY-6089	15
PWY-6087	27
PWY-6086	2
PWY-6085	2
PWY-2942	5
PWY-6082	4
PWY-6080	12
PWY0-1348	1
PWY0-1458	1
PWY0-1221	5
COLANSYN-PWY	19
PWY-5101	1
PWY490-8	1
NARQ-PWY	1
GLUTAMINDEG-PWY	34
PCPDEG-PWY	5
ORN-AMINOPENTANOATE-CAT-PWY	24
TOLUENE-DEG-DIOL-PWY	2
GLYCOLYSIS-E-D	33
NRI-PWY	1
PWY-6107	4
4AMINOBUTMETAB-PWY	16
CARNMET-PWY	2
PWY-5674	10
P141-PWY	7
PROUT-PWY	33
PWY-6038	12
PWY-6039	6
PWY-5981	12
PWY-3461	1
PWY4FS-2	5
PWY4FS-3	1
PWY4FS-7	37
PWY-5533	2
ORNDEG-PWY	1
PWY4FS-8	74
GLUTSYN-PWY	43
PWY-5530	3
PHOSLIPSYN2-PWY	1
PWY-6545	8
PWY-6543	5
GLUCUROCAT-PWY	28
PWY-5403	4
PWY-622	22
PWY-5030	1
PWY-5965	74
PWY-5964	33
PWY-5966	75
LIPAS-PWY	28
GLUTDEG-PWY	32
PWY-1001	31
KDOSYN-PWY	21
PWY-5844	8
P541-PWY	1
PWY-3941	19
PWY-6104	2
PWY-6105	5
PWY-3462	1
PWY-1581	2
KETOGLUCONMET-PWY	10
PWY0-1021	42
POLYAMINSYN3-PWY	2
PWY-5531	34
PWY-5536	2
PWY-5537	1
PWY-5535	19
PWY-5538	2
NONOXIPENT-PWY	87
DENITRIFICATION-PWY	7
PWY0-501	57
