PID	mtc_mock_stg_lc
1CMET2-PWY	0.6421
OXIDATIVEPENT-PWY	0.7272
PUTDEG-PWY	0.001
SO4ASSIM-PWY	0.071
PWY-5169	0.01
PROPIONMET-PWY	0.521
PWY-5651	0.02
LYXMET-PWY	0.0012
PWY-1881	0.0611
PWY-5938	0.7022
PWY-5939	0.0051
PWY-5785	0.8574
P21-PWY	0.8364
PWY-5783	0.561
PWY0-1470	0.001
PWY-4381	0.001
ALANINE-VALINESYN-PWY	0.8384
PWY-5461	0.01
LIPASYN-PWY	0.18
TCA	0.062
P223-PWY	0.0001
PWY-5453	0.001
GALACTUROCAT-PWY	0.547
PWY-5600	0.075
PWY-6454	0.58
PWY-6455	0.57
PWY-5162	0.001
PWY-5767	0.1
PWY-5766	0.01
CRNFORCAT-PWY	0.0101
PWY-6353	0.001
PWY-6357	0.59
SUCUTIL-PWY	0.1012
PWY-5807	0.0011
P2-PWY	0.1161
PWY-6118	0.01
CHOLINE-BETAINE-ANA-PWY	0.01
SULFMETII-PWY	0.06
PWY66-21	0.0101
GLYSYN-ALA-PWY	0.01
ASPASN-PWY	0.001
PWY-5111	0.13
PWY-4821	0.6801
P101-PWY	0.11
PWY0-1356	0.001
PWY0-1355	0.001
PWY0-1353	0.521
PWY0-1352	0.001
N2FIX-PWY	0.0051
PWY0-662	0.8584
PWY0-661	0.012
PHOSPHONOTASE-PWY	0.51
GALLATE-DEGRADATION-I-PWY	0.01
IDNCAT-PWY	0.7332
GLUTORN-PWY	0.7082
ARO-PWY	0.7584
ACETOACETATE-DEG-PWY	0.001
PWY0-1503	0.001
PWY0-1500	0.001
PWY0-1501	0.001
PWY0-1506	0.001
PWY0-1507	0.017
PWY0-1505	0.001
GLUAMCAT-PWY	0.7434
VALSYN-PWY	0.7583
NAD-BIOSYNTHESIS-III	0.01
GLUCOSE1PMETAB-PWY	0.2274
PWY-4261	0.0101
PWY-5344	0.6762
PWY-3982	0.5111
PWY-5028	0.01
PWY-5340	0.672
LIPA-CORESYN-PWY	0.111
PWY-5026	0.0001
TYRFUMCAT-PWY	0.01
PWY-5022	0.0001
PWY-4041	0.06
PWY-5973	0.2813
PWY-5971	0.3563
PWY-66	0.621
P483-PWY	0.0101
PWY-6139	0.8473
PWY-6130	0.0001
PWY-6137	0.1322
PWY-6135	0.1011
PWY-6134	0.01
HOMOSER-METSYN-PWY	0.8084
PWY0-1433	0.001
PWY-5509	0.2502
PWY-5508	0.2513
PWY-5507	0.0501
GLUT-REDOX-PWY	0.1111
FAO-PWY	0.6973
PROSYN-PWY	0.7072
NONMEVIPP-PWY	0.8574
SALVADEHYPOX-PWY	0.8084
PWY0-901	0.1211
PWY-6317	0.8564
GLUCARDEG-PWY	0.0121
PWY-5485	0.7473
PWY-5482	0.001
PWY-5483	0.5511
PWY-5480	0.0003
PWY-5481	0.1504
PWY-4361	0.0001
PWY-5642	0.01
DETOX1-PWY	0.7482
GALACTITOLCAT-PWY	0.001
ARGSPECAT-PWY	0.01
SORBDEG-PWY	0.0011
PWY0-42	0.011
HISDEG-PWY	0.6122
PWY0-41	0.001
PWY0-44	0.001
ETOH-ACETYLCOA-ANA-PWY	0.101
GLYSYN-THR-PWY	0.6253
PWY0-1312	0.7483
PWY-5659	0.7983
PWY0-1317	0.1011
PWY0-1315	0.5121
PWY0-1314	0.1183
PWY-5653	0.05
FORMASS-PWY	0.01
NADPHOS-DEPHOS-PWY	0.6322
P601-PWY	0.06
UBISYN-PWY	0.6211
PWY-6406	0.63
PWY-3282	0.01
HOMOSER-THRESYN-PWY	0.8084
PWY-5852	0.6362
PWY-5855	0.06
PWY-5857	0.06
PWY-5856	0.06
ALADEG-PWY	0.001
BSUBPOLYAMSYN-PWY	0.0272
BIOTIN-SYNTHESIS-PWY	0.7512
GLUTSYNIII-PWY	0.0812
P142-PWY	0.0751
PWY0-1264	0.7473
PWY0-1261	0.0011
P162-PWY	0.0011
SAM-PWY	0.8584
PWY-6537	0.001
KDO-LIPASYN-PWY	0.061
PWY-6535	0.001
PWY-6530	0.01
GLYOXYLATE-BYPASS	0.021
RXN0-5268	0.01
NADH-DEHYDROG-A-RXN	0.06
ARABCAT-PWY	0.5313
12DICHLORETHDEG-PWY	0.011
PWY0-1182	0.001
SERDEG-PWY	0.7774
P163-PWY	0.1863
RIBOSYN2-PWY	0.8583
PWY-1722	0.001
PWY-561	0.02
PWY-6075	0.01
NARX-PWY	0.001
PWY-841	0.8573
PWY0-301	0.0012
MALTOSECAT-PWY	0.2001
PWY0-823	0.0611
PWY-5372	0.0001
ECASYN-PWY	0.001
PWY-6213	0.0301
PWY-2361	0.01
PWY-5074	0.1012
PWY-5921	0.2263
PWY-2161	0.7883
THREONINE-DEG2-PWY	0.626
PYRIDNUCSYN-PWY	0.7574
PEPTIDOGLYCANSYN-PWY	0.8584
METHFORM-PWY	0.005
RUMP-PWY	0.0001
PWY-5194	0.0871
GLUTDEG-PWY	0.7161
PPGPPMET-PWY	0.8534
LACTOSECAT-PWY	0.1022
PWY-5757	0.51
PWY-5755	0.01
PWY-3162	0.06
PWY-3161	0.05
PWY-5751	0.1602
RIBOKIN-PWY	0.6722
PWY-6287	0.06
PWY-6282	0.101
PWY-1861	0.0001
PWY-5686	0.8584
PWY-5687	0.8582
THISYN-PWY	0.8584
PWY-6089	0.01
PWY-6087	0.5201
GAMMAHEXCHLORDEG-PWY	0.01
PWY-2942	0.53
PWY-6080	0.0001
PWY0-1348	0.001
PYRUVOX-PWY	0.511
PWY0-1221	0.001
COLANSYN-PWY	0.621
NARQ-PWY	0.001
GLUTAMINDEG-PWY	0.5862
PCPDEG-PWY	0.01
ORN-AMINOPENTANOATE-CAT-PWY	0.0551
GLYCOLYSIS-E-D	0.072
NRI-PWY	0.001
4AMINOBUTMETAB-PWY	0.01
CARNMET-PWY	0.001
MENAQUINONESYN-PWY	0.012
PROUT-PWY	0.211
PWY-6038	0.1001
PWY-6039	0.0001
KETOGLUCONMET-PWY	0.002
PWY4FS-2	0.0501
GLUCONEO-PWY	0.8684
ORNDEG-PWY	0.001
PWY4FS-8	0.7274
GLUTSYN-PWY	0.6872
GLUCUROCAT-PWY	0.597
PWY0-1319	0.111
CITRULLINE-DEG-PWY	0.6822
PWY-622	0.1002
PWY-5030	0.0001
PWY-5965	0.7573
PWY-5964	0.0051
PWY-5966	0.7573
LIPAS-PWY	0.0121
PWY-5963	0.0001
PWY-1001	0.6411
KDOSYN-PWY	0.111
DENITRIFICATION-PWY	0.01
PWY-6105	0.001
PWY0-1474	0.001
PWY0-1021	0.0511
PWY-5530	0.05
PWY-5531	0.7321
PWY-5536	0.0001
PWY-5535	0.5511
PWY-5538	0.0001
NONOXIPENT-PWY	0.8584
PWY-3941	0.01
PWY0-501	0.677
